doc_id,cem_code,afsc_title,afsc_codes,afsc_families,skill_digits,skill_labels
religious-affairs-career-field-6817df53d4,5R000,RELIGIOUS AFFAIRS CAREER FIELD,5R091;5R071;5R051;5R031;5R011,5R0,1;3;5;7;9,helper;apprentice;journeyman;craftsman;superintendent
religious-affairs-7e769865db,,RELIGIOUS AFFAIRS,,,,
contracting-career-field-f12e12b2a6,6C000,CONTRACTING CAREER FIELD,6C071;6C051;6C031;6C011,6C0,1;3;5;7,helper;apprentice;journeyman;craftsman
contracting-ba04f65e95,,CONTRACTING,,,,
financial-career-field-17b9dc4a97,6F000,FINANCIAL CAREER FIELD,6F091;6F071;6F051;6F031;6F011,6F0,1;3;5;7;9,helper;apprentice;journeyman;craftsman;superintendent
financial-management-and-comptroller-9b65df751b,,FINANCIAL MANAGEMENT AND COMPTROLLER,,,,
special-investigations-career-field-b7b5f357a3,7S000,SPECIAL INVESTIGATIONS CAREER FIELD,7S091;7S071;7S031;7S011,7S0,1;3;7;9,helper;journeyman;craftsman;superintendent
special-investigations-0b5432dff9,,SPECIAL INVESTIGATIONS,,,,
enlisted-aide-8f6debc2f3,,ENLISTED AIDE,,,,
protocol-786db7e056,,PROTOCOL,,,,
talent-management-consultant-a49ecf1028,,TALENT MANAGEMENT CONSULTANT,,,,
miltary-training-instructor-4e930b21cd,,MILTARY TRAINING INSTRUCTOR,,,,
military-training-leader-beefe69961,,MILITARY TRAINING LEADER,,,,
academy-military-training-nco-6567ea49b3,,ACADEMY MILITARY TRAINING NCO,,,,
officer-accessions-intructor-73b0ab27e6,,OFFICER ACCESSIONS INTRUCTOR,,,,
military-and-family-readiness-non-commissioned-officer-2ff28cb967,,MILITARY AND FAMILY READINESS NON-COMMISSIONED OFFICER,,,,
language-culture-advisor-6e63116217,,LANGUAGE & CULTURE ADVISOR,,,,
first-sergeant-ef07830db8,,FIRST SERGEANT,,,,
guardian-first-sergeant-5b478a4e51,8G000,GUARDIAN FIRST SERGEANT,,,,
premier-honor-guard-17e5ac16c8,,PREMIER HONOR GUARD,,,,
base-honor-guard-program-manager-ff12514eb2,,BASE HONOR GUARD PROGRAM MANAGER,,,,
airmen-dorm-leader-fbedc27bde,,AIRMEN DORM LEADER,,,,
superintendent-inspector-general-ae6dad25f9,,"SUPERINTENDENT, INSPECTOR GENERAL",,,,
inspections-coordinator-6de7159803,,INSPECTIONS COORDINATOR,,,,
complaints-resolution-coordinator-6207bc9737,,COMPLAINTS & RESOLUTION COORDINATOR,,,,
software-development-specialist-aad414215f,,SOFTWARE DEVELOPMENT SPECIALIST,,,,
air-advisor-functional-category-c293746721,,AIR ADVISOR FUNCTIONAL CATEGORY,,,,
courier-6b5dccac0b,,COURIER,,,,
sdi-8p100-7297e6cee7,,SDI 8P100,,,,
enlisted-accessions-recruiter-2445a1edb6,,ENLISTED ACCESSIONS RECRUITER,,,,
second-tier-recruiter-290c2f6895,,SECOND-TIER RECRUITER,,,,
third-tier-recruiter-b38704b525,,THIRD-TIER RECRUITER,,,,
missile-facility-manager-c23c801fd2,,MISSILE FACILITY MANAGER,,,,
combat-crew-communications-112e9d7334,,COMBAT CREW COMMUNICATIONS,,,,
professional-military-education-instructor-984347c3c0,,PROFESSIONAL MILITARY EDUCATION INSTRUCTOR,,,,
enlisted-professional-military-education-instructional-system-designer-402e971af5,,ENLISTED PROFESSIONAL MILITARY EDUCATION INSTRUCTIONAL SYSTEM DESIGNER,,,,
development-advisor-a0d7da02bc,,DEVELOPMENT ADVISOR,,,,
unit-deployment-manager-eb749f8396,,UNIT DEPLOYMENT MANAGER,,,,
sdi-8u100-635e828b8c,,SDI 8U100,,,,
weapons-safety-manager-wing-level-5fe3310dfa,,WEAPONS SAFETY MANAGER -WING LEVEL,,,,
space-force-specialty-codes-ea58fadaed,5Z900,SPACE FORCE SPECIALTY CODES,,,,
cyber-operations-bd3b3e2f73,,CYBER OPERATIONS,,,,
all-source-analyst-c952912080,,ALL SOURCE ANALYST,,,,
cryptologic-analyst-44727711d5,,CRYPTOLOGIC ANALYST,,,,
space-systems-operations-cd107b4dea,,SPACE SYSTEMS OPERATIONS,,,,
sdi-8b400-05bbd3d1b6,,SDI 8B400,,,,
guardian-training-leader-ca8fdd2580,,GUARDIAN TRAINING LEADER,,,,
sdi-8g200-6dc31b5203,,SDI 8G200,,,,
guardian-talent-scout-65827e53ad,,GUARDIAN TALENT SCOUT,,,,
sdi-8t300-4440cfbd21,,SDI 8T300,,,,
