doc_id,ref,sent_index,text_for_embedding,metadata_json
special-mission-aviator-ca90ad358d,2.1,0,"[SPECIAL MISSION AVIATOR | Duty 2.1 | Skills: 1,3,5] Performs pre-flight, thru-flight, post-flight, and operational checks/inspection of aircraft electrical, propulsion, hydraulic, pneumatic, environmental, emergency and flight control systems in accordance with applicable flight manuals.","{""doc_id"": ""special-mission-aviator-ca90ad358d"", ""afsc_title"": ""SPECIAL MISSION AVIATOR"", ""afsc_codes"": [], ""ref"": ""2.1"", ""sent_index"": 0, ""skill_digits"": [""1"", ""3"", ""5""]}"
special-mission-aviator-ca90ad358d,2.1,1,"[SPECIAL MISSION AVIATOR | Duty 2.1 | Skills: 3,5,7,9] Computes and certifies aircraft performance/weight and balance data for takeoff, in-flight, cruise, and landing for mission execution.","{""doc_id"": ""special-mission-aviator-ca90ad358d"", ""afsc_title"": ""SPECIAL MISSION AVIATOR"", ""afsc_codes"": [], ""ref"": ""2.1"", ""sent_index"": 1, ""skill_digits"": [""3"", ""5"", ""7"", ""9""]}"
special-mission-aviator-ca90ad358d,2.1,2,"[SPECIAL MISSION AVIATOR | Duty 2.1 | Skills: 3,5] Configures aircraft in accordance with mission determination.","{""doc_id"": ""special-mission-aviator-ca90ad358d"", ""afsc_title"": ""SPECIAL MISSION AVIATOR"", ""afsc_codes"": [], ""ref"": ""2.1"", ""sent_index"": 2, ""skill_digits"": [""3"", ""5""]}"
special-mission-aviator-ca90ad358d,2.1,3,"[SPECIAL MISSION AVIATOR | Duty 2.1 | Skills: 5,7,9] Coordinates logistical support.","{""doc_id"": ""special-mission-aviator-ca90ad358d"", ""afsc_title"": ""SPECIAL MISSION AVIATOR"", ""afsc_codes"": [], ""ref"": ""2.1"", ""sent_index"": 3, ""skill_digits"": [""5"", ""7"", ""9""]}"
special-mission-aviator-ca90ad358d,2.1,4,"[SPECIAL MISSION AVIATOR | Duty 2.1 | Skills: 1,3,5,7] Operates and monitors engine and aircraft systems controls and indicators.","{""doc_id"": ""special-mission-aviator-ca90ad358d"", ""afsc_title"": ""SPECIAL MISSION AVIATOR"", ""afsc_codes"": [], ""ref"": ""2.1"", ""sent_index"": 4, ""skill_digits"": [""1"", ""3"", ""5"", ""7""]}"
special-mission-aviator-ca90ad358d,2.1,5,"[SPECIAL MISSION AVIATOR | Duty 2.1 | Skills: 1,3,5,7] Performs engine starts, and monitors run-up, flight operations, and engine shutdown.","{""doc_id"": ""special-mission-aviator-ca90ad358d"", ""afsc_title"": ""SPECIAL MISSION AVIATOR"", ""afsc_codes"": [], ""ref"": ""2.1"", ""sent_index"": 5, ""skill_digits"": [""1"", ""3"", ""5"", ""7""]}"
special-mission-aviator-ca90ad358d,2.1,6,"[SPECIAL MISSION AVIATOR | Duty 2.1 | Skills: 1,3,5] Operates engine controls, aircraft systems, such as electric, communication, navigation, hydraulic, pneumatic, fuel, air conditioning, pressurization, ventilation, and auxiliary power unit.","{""doc_id"": ""special-mission-aviator-ca90ad358d"", ""afsc_title"": ""SPECIAL MISSION AVIATOR"", ""afsc_codes"": [], ""ref"": ""2.1"", ""sent_index"": 6, ""skill_digits"": [""1"", ""3"", ""5""]}"
special-mission-aviator-ca90ad358d,2.1,7,"[SPECIAL MISSION AVIATOR | Duty 2.1 | Skills: 1,3,5] Observes aircraft systems, instrumentations, and warning indicators for malfunctions.","{""doc_id"": ""special-mission-aviator-ca90ad358d"", ""afsc_title"": ""SPECIAL MISSION AVIATOR"", ""afsc_codes"": [], ""ref"": ""2.1"", ""sent_index"": 7, ""skill_digits"": [""1"", ""3"", ""5""]}"
special-mission-aviator-ca90ad358d,2.1,8,"[SPECIAL MISSION AVIATOR | Duty 2.1 | Skills: 3,5,7,9] Analyzes malfunctions, determines aircraft status/mission impact, and applies decisive actions in accordance with flight manuals, and applies risk mitigation to return systems within tolerable operation for mission success.","{""doc_id"": ""special-mission-aviator-ca90ad358d"", ""afsc_title"": ""SPECIAL MISSION AVIATOR"", ""afsc_codes"": [], ""ref"": ""2.1"", ""sent_index"": 8, ""skill_digits"": [""3"", ""5"", ""7"", ""9""]}"
special-mission-aviator-ca90ad358d,2.1,9,"[SPECIAL MISSION AVIATOR | Duty 2.1 | Skills: 1,3,5] Maintains aircraft flight record and maintenance status forms, and records flight logs and reports.","{""doc_id"": ""special-mission-aviator-ca90ad358d"", ""afsc_title"": ""SPECIAL MISSION AVIATOR"", ""afsc_codes"": [], ""ref"": ""2.1"", ""sent_index"": 9, ""skill_digits"": [""1"", ""3"", ""5""]}"
